n,Abs_Err,Rel_Err,R_n
3,0.00044804997394565227,0.044474142220707974,0.0193037389844546
5,7.508926019195172e-06,0.0007453477583350303,0.005426361664264519
10,9.775602549666473e-11,9.703416211775476e-09,0.00034171472762694287
20,2.220446049250313e-16,2.204049528630172e-14,2.385777173230233e-06
30,2.220446049250313e-16,2.204049528630172e-14,2.154171478781276e-08
40,0.0,0.0,2.1709553943215123e-10
50,6.661338147750939e-16,6.612148585890517e-14,2.326255283569971e-12
60,4.440892098500626e-16,4.408099057260344e-14,2.5923313099994713e-14
70,2.220446049250313e-16,2.204049528630172e-14,2.96862119051759e-16
80,1.3322676295501878e-15,1.3224297171781034e-13,3.468333931018702e-18
90,2.220446049250313e-16,2.204049528630172e-14,4.11488140437681e-20
100,1.1102230246251565e-15,1.1020247643150859e-13,4.941628954900406e-22
