n,Abs_Err,Rel_Err,R_n
3,0.0006612382049049348,0.052057641651726154,0.007356987777785293
5,2.661512559609669e-05,0.0020953427380931205,0.001276722854676054
10,8.556284791794155e-09,6.73615051667155e-07,2.4075473718012868e-05
20,7.37188088351104e-14,5.803698734984635e-12,1.507257723926434e-08
30,1.1887824058476326e-11,9.358988640771308e-10,1.2203499998033234e-11
40,5.748264753080434e-09,4.525466078871392e-07,1.102812116372914e-14
50,1.2889239764390936e-07,1.0147378355343349e-05,1.0596306113823267e-17
60,2.332376199754016e-05,0.0018362218562562563,1.0588492261336362e-20
70,0.04685309527471215,3.6886278288106618,1.0872887544839125e-23
80,2.199277593863438,173.14366294136516,1.139088618584942e-26
90,447.78378699408654,35252.90545506571,1.2118264447613444e-29
100,19902.412424893082,1566867.501506361,1.3049676043781614e-32
