n,Abs_Err,Rel_Err,R_n
3,0.0017971713820639224,0.15183401117054857,0.009472247298100625
5,2.588950464299522e-05,0.002187274611868202,0.001865203075397886
10,1.3816228161545041e-09,1.1672639359556993e-07,4.823869752162502e-05
20,0.0,0.0,5.6805545325754144e-08
30,2.220446049250313e-14,1.8759436835583946e-12,8.651075538746108e-11
40,1.127986593019159e-13,9.529793912476644e-12,1.470515854283792e-13
50,1.7763568394002505e-12,1.5007549468467154e-10,2.657695136846338e-16
60,2.48263631874579e-11,2.0974551137129696e-09,4.995365529944143e-19
70,2.3360424705742844e-11,1.9736053117244447e-09,9.64851616744505e-22
80,7.90886023338544e-09,6.681799994183531e-07,1.9013218040639428e-24
90,2.9115154509540275e-08,2.4597936174328366e-06,3.8047053151487886e-27
100,6.585709018125385e-07,5.5639357859998816e-05,7.706599918635348e-30
